id,link,neighborhood,price,listing_type,num_guests,num_bed,num_bath,shared_bath,num_ammenities,number_review,overall_review,accuracy,communication,cleanliness,value,check_in,location
33643819,https://www.airbnb.com/rooms/33643819?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,280,Private,2,1,1,sharedbath,4,12,4,4.2,4.1,4.2,4.2,4.2,4.4
33096377,https://www.airbnb.com/rooms/33096377?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,653,Entire,5,2,1,notshared,4,27,5,5,5,4.5,5,5,5
18649822,https://www.airbnb.com/rooms/18649822?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,445,Entire,2,1,1,notshared,4,68,5,4.9,5,4.9,4.9,4.9,5
24313537,https://www.airbnb.com/rooms/24313537?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,536,Entire,5,2,1,notshared,4,80,5,4.8,4.9,4.8,4.7,4.7,4.9
34544052,https://www.airbnb.com/rooms/34544052?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,605,Entire,2,1,2,notshared,4,0,0,0,0,0,0,0,0
29517566,https://www.airbnb.com/rooms/29517566?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,1275,Entire,9,4,2,notshared,4,30,4.5,4.7,4.6,4.8,4.7,4.7,4.8
30945324,https://www.airbnb.com/rooms/30945324?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,688,Entire,2,1,1,notshared,4,20,5,5,5,4.8,4.9,4.9,5
32326698,https://www.airbnb.com/rooms/32326698?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,318,Room,2,2,1,notshared,4,3,5,5,5,5,5,5,5
34485284,https://www.airbnb.com/rooms/34485284?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,410,Room,2,1,1,notshared,4,0,0,0,0,0,0,0,0
34470954,https://www.airbnb.com/rooms/34470954?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,292,Private,2,1,1,notshared,4,0,0,0,0,0,0,0,0
33661269,https://www.airbnb.com/rooms/33661269?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,280,Private,2,1,1,sharedbath,4,14,5,4.8,5,4.9,4.8,4.8,4.9
36379279,https://www.airbnb.com/rooms/36379279?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,450,Entire,2,1,1.5,notshared,4,0,0,0,0,0,0,0,0
34811838,https://www.airbnb.com/rooms/34811838?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,129,Camper/RV,2,1,0,notshared,4,15,5,4.9,5,5,4.9,4.9,4.9
33240039,https://www.airbnb.com/rooms/33240039?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,280,Private,2,1,1,sharedbath,4,12,5,4.8,4.7,4.9,4.6,4.6,4.8
15142409,https://www.airbnb.com/rooms/15142409?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,458,Entire,2,1,1,notshared,4,103,5,4.8,5,4.8,5,5,5
33240867,https://www.airbnb.com/rooms/33240867?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,280,Private,2,1,1,sharedbath,4,15,4.5,4.9,4.8,5,5,5,4.9
32327466,https://www.airbnb.com/rooms/32327466?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,299,Room,2,1,1,notshared,4,3,5,4.3,5,3.7,5,5,5
3968610,https://www.airbnb.com/rooms/3968610?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,256,Entire,2,1,1,notshared,4,37,4,4.3,4.8,4.1,4.5,4.5,4.9
8864262,https://www.airbnb.com/rooms/8864262?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,536,Entire,3,1,1,notshared,4,84,5,4.8,5,5,4.9,4.9,5
34485289,https://www.airbnb.com/rooms/34485289?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,575,Room,2,1,1,notshared,4,0,0,0,0,0,0,0,0
33472083,https://www.airbnb.com/rooms/33472083?location=Lower%20Manhattan%2C%20New%20York%2C%20NY%2C%20United%20States&toddlers=0&adults=1&check_in=2019-12-25&check_out=2019-12-26,downtown,175,Private,1,1,1,sharedbath,6,0,0,0,0,0,0,0,0
